Horário,Objetos,Largura
2022-11-29T17:05:47.453717300,0,0
2022-11-29T17:05:49.758493100,0,0
2022-11-29T17:05:52.009691300,0,0
2022-11-29T17:05:54.182273300,0,0
2022-11-29T17:05:56.442014500,0,0
2022-11-29T17:05:58.655569700,0,0
2022-11-29T17:06:00.875847500,0,0
2022-11-29T17:06:03.123282700,0,0
2022-11-29T17:06:05.371042200,0,0
2022-11-29T17:06:07.640844400,0,0
2022-11-29T17:06:09.884559900,0,0
2022-11-29T17:06:12.371972300,0,0
2022-11-29T17:06:14.618266600,0,0
2022-11-29T17:06:16.896361,0,0
2022-11-29T17:06:19.164631500,0,0
2022-11-29T17:06:21.502498300,0,0
2022-11-29T17:06:23.761309200,0,0
2022-11-29T17:09:20.650717700,0,0
2022-11-29T17:09:22.935248600,0,0
2022-11-29T17:09:45.041866,5,128
2022-11-29T17:12:56.934448500,5,128
2022-11-29T17:12:59.077423100,5,128
2022-11-29T17:13:18.571321,5,128
2022-11-29T17:13:20.719842,5,128
2022-11-29T17:13:22.903071200,5,128
2022-11-29T17:15:19.030834200,5,128
2022-11-29T17:15:21.179742600,5,128
2022-11-29T17:15:25.383261200,5,128
2022-11-29T17:15:27.562111100,5,128
2022-11-29T17:15:32.183836300,5,128
2022-11-29T17:15:34.407766500,5,128
2022-11-29T17:15:36.568084600,5,128
2022-11-29T17:15:38.714870300,5,128
2022-11-29T17:15:40.868545100,5,128
2022-11-29T17:15:45.259609200,5,128
2022-11-29T17:15:47.406688,5,128
2022-11-29T17:15:49.580095500,5,128
2022-11-29T17:15:51.732487600,5,128
2022-11-29T17:15:53.899401,5,128
2022-11-29T17:15:56.101875700,5,128
2022-11-29T17:15:58.281923100,5,128
2022-11-29T17:16:00.467450900,5,128
2022-11-29T17:16:02.612781600,5,128
2022-11-29T17:16:04.759915400,5,128
2022-11-29T17:16:06.915735300,5,128
2022-11-29T17:16:09.052743,5,128
2022-11-29T17:16:11.222653100,5,128
2022-11-29T17:16:13.384930500,5,128
2022-11-29T17:16:15.543798300,5,128
2022-11-29T17:16:17.700847200,5,128
2022-11-29T17:16:19.848018100,5,128
2022-11-29T17:16:21.991472100,5,128
2022-11-29T17:16:24.150243100,5,128
2022-11-29T17:33:10.650507,5,128
2022-11-29T17:33:12.809818600,5,128
